State/Parent NTD ID,NTD ID,Legacy NTD ID,Agency Name,Division/Department,Reporter Acronym,Doing Business As,Reporter Type,Reporting Module,Organization Type,Reported By NTD ID,Reported by Name,Public Sponsor,Subrecipient Type,FY End Date,Original Due Date,Address Line 1,Address Line 2,P.O. Box,City,State,Zip Code,Zip Code Ext,Region,URL,FTA Recipient ID,UEID, Service Area Sq Miles , Service Area Pop ,Primary UZA UACE Code,UZA Name,Tribal Area Name, Population , Density , Sq Miles , VOMS DO , VOMS PT , Total VOMS ,Volunteer Drivers,Personal Vehicles,TAM Tier,Number of State Counties,Number of Counties with Service, State Admin Funds Expended 
4R04,41032,4R04-013,City of Maysville,Public Works,MTS,Maysville City Transit,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R04,Kentucky Transportation Cabinet,,Rural General Public Transit,6/30/24,10/31/24,216 Bridge St,,,Maysville,KY,41056,1208,4,https://www.cityofmaysvilleky.gov/departments/public_works_department/index.php,1003,C8FGJ5JX29M4,,,,,, -   , -   , -   , 7 ,, 7 ,0,0,Tier II,,,
4R03,41033,4R03-100,Towns County,Transit,,Towns County Transit,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R03,Georgia Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,48 River St Ste B,,629,Hiawassee,GA,30546,3220,4,http://www.townscountyga.org/transit.html,1002,GZALE4SX8FL7,,,,,, -   , -   , -   , 2 ,, 2 ,0,0,Tier II,,,
4R06,41034,4R06-003,"Beaufort County Developmental Center, Inc.",Transportation,BATS,Beaufort Area Transit System,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R06,North Carolina Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,1534 W 5Th St,,,Washington,NC,27889,4108,4,http://www.BCDCsolutions.org,1005,ZLVNFD64T574,,,,,, -   , -   , -   , 13 ,, 13 ,0,0,Tier II,,,
4R03,41035,4R03-092,City of Cedartown,Transit,,Cedartown Transit,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R03,Georgia Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,201 East Ave,,,Cedartown,GA,30125,3001,4,https://cedartowngeorgia.gov/our-departments/transit-department/,1002,MEKUX8E2BP33,,,,,, -   , -   , -   , 1 ,, 1 ,0,0,Tier II,,,
4R02,41037,4R02-003,"Suwannee River Economic Council, Inc.",,SREC,,Rural Reporter,Rural,Private-Non-Profit Corporation,4R02,Florida Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,1171 Nobles Ferry Rd,,70,Live Oak,FL,32064,8463,4,http://www.srecinc.org,1001,TF66NBMN9YB4,,,,,, -   , -   , -   , 25 ,, 25 ,0,0,Tier II,,,
4R06,41038,4R06-022,Hyde County Private Non-Profit Transp. Corp. Inc.,,HCT,Hyde Transit,Rural Reporter,Rural,Private-Non-Profit Corporation,4R06,North Carolina Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,1275 Main St,,205,Swanquarter,NC,27885,9806,4,http://www.hydecountync.gov/public_transportation.php,1005,LVH4P6K6B8E6,,,,,, -   , -   , -   , 5 ,, 5 ,0,0,Tier II,,,
4R05,41039,4R05-014,Northeast Mississippi Community Services,,NEMCS,,Rural Reporter,Rural,Private-Non-Profit Corporation,4R05,Mississippi Department of Transportation,,Rural General Public Transit,9/30/24,1/31/25,801 Hatchie St,,930,Booneville,MS,38829,4803,4,,1009,ZTHQRMFEMU22,,,,,, -   , -   , -   , 42 ,, 42 ,0,0,Tier II,,,
4R03,41041,4R03-021,Greene County Commission,Public Transit,GCT,Greene County Transit,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R03,Georgia Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,1034 Silver Rd Ste 101,,,Greensboro,GA,30642,2183,4,https://www.greenecountyga.gov/225/Public-Transit,1002,KKSUJX4EUGK9,,,,,, -   , -   , -   ,, 4 , 4 ,0,0,Tier II,,,
4R07,41042,4R07-018,McCormick County Senior Center,,,MAT Transit,Rural Reporter,Rural,Private-Non-Profit Corporation,4R07,South Carolina Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,1421 S Main St,,1116,Mc Cormick,SC,29835,7935,4,www.mcsc-mat.org,1006,NBCTL8CWLFL1,,,,,, -   , -   , -   , 15 ,, 15 ,0,0,Tier II,,,
4R06,41043,4R06-032,Mitchell County Transportation Authority,,MCTA,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R06,North Carolina Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,26 Crimson Laurel Cir Ste 3,,,Bakersville,NC,28705,9510,4,http://mitchellcounty.org/departments/transportation,1005,YL69DGLK4CH3,,,,,, -   , -   , -   , 12 ,, 12 ,0,0,Tier II,,,
4R05,41044,4R05-027,Community Development Inc.,,CDI,,Rural Reporter,Rural,Private-Non-Profit Corporation,4R05,Mississippi Department of Transportation,,Rural General Public Transit,9/30/24,1/31/25,411 Oak St,,689,Richton,MS,39476,7447,4,https://www.communitydevelopmentinc.net/,1009,JXLDNPGFECX5,,,,,, -   , -   , -   , 27 ,, 27 ,0,0,Tier II,,,
4R06,41045,4R06-009,Dare County,Transportation,DCTS,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R06,North Carolina Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,954 Marshall Collins Dr,,1000,Manteo,NC,27954,8007,4,http://darenc.com,1005,ELV6JGB11QK6,,,,,, -   , -   , -   , 7 ,, 7 ,0,0,Tier II,,,
4R03,41046,4R03-030,Taliaferro County Board of Commissioners,Taliaferro County Transit,TCT,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R03,Georgia Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,113 Monument St Se,,114,Crawfordville,GA,30631,3248,4,https://taliaferrocountyga.org/taliaferro-county-transit/,1002,WMZNLMXD71M7,,,,,, -   , -   , -   , 2 ,, 2 ,0,0,Tier II,,,
4R06,41048,4R06-025,Kerr Area Transportation Authority,,KARTS,Kerr Area Regional Transportation System,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,4R06,North Carolina Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,1575 Ross Mill Rd,,246,Henderson,NC,27537,3330,4,http://www.kartsnc.com/,1005,TECLAA2NE4E5,,,,,, -   , -   , -   , 37 ,, 37 ,0,0,Tier II,,,
4R02,41050,4R02-005,Suwannee Valley Transit Authority,,SVTA,,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,4R02,Florida Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,1907 Voyles St Sw,,,Live Oak,FL,32064,4975,4,www.ridesvta.com,1001,DGJ1ECK5SJQ8, 216 ," 143,696 ",,,, -   , -   , -   , 12 ,, 12 ,0,0,Tier II,,,
4R05,41051,4R05-004,"Five County Child Development Program, Inc.",,FCCD,,Rural Reporter,Rural,Private-Non-Profit Corporation,4R05,Mississippi Department of Transportation,,Rural General Public Transit,9/30/24,1/31/25,P.O. Box 1195,,1195,Prentiss,MS,39474,6006,4,https://www.fivecountyhs.org,1009,SFSQEQ1KWJ33,,,,,, -   , -   , -   , 8 ,, 8 ,0,0,Tier II,,,
4R05,41052,4R05-030,City of Oxford,,COX,,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R05,Mississippi Department of Transportation,,Rural General Public Transit,9/30/24,1/31/25,300 Mcelroy Dr,,,Oxford,MS,38655,2237,4,https://www.outtransit.com,1009,N55ENGMV2VM7,,,,,, -   , -   , -   , 34 ,, 34 ,0,0,Tier II,,,
4R04,41053,4R04-011,Murray-Calloway County Transit Authority,,MCTA,,Rural Reporter,Rural,Independent Public Agency or Authority of Transit Service,4R04,Kentucky Transportation Cabinet,,Rural General Public Transit,6/30/24,10/31/24,1111 Transit Way,,,Murray,KY,42071,8750,4,http://www.murraytransit.com/,1003,WL2HJCV1V7S3,,,,,, -   , -   , -   , 30 ,, 30 ,0,0,Tier II,,,
4R03,41055,4R03-026,McDuffie County Commission,McDuffie County Rural Transportation,MT,Leisure Services,Rural Reporter,Rural,"City, County or Local Government Unit or Department of Transportation",4R03,Georgia Department of Transportation,,Rural General Public Transit,6/30/24,10/31/24,210 Railroad St,,,Thomson,GA,30824,2737,4,https://www.thomson-mcduffie.gov/parksrec-leisure/page/mcduffie-county-rural-transit,1002,WQ19MNKUN8R6,,,,,, -   , -   , -   , 6 ,, 6 ,0,0,Tier II,,,
