Agency,UZA_Name,UACE_Code,Report_Year,Mode_Name,UZA_Area(Sq Miles),UZA_Pop,Service_Area(Sq Miles),Service_Area_Pop,Time_Period,VRM,VRH,UPT
"Senior Services of Snohomish County, dba: Homage Senior Services","Seattle--Tacoma, WA",80389.0,2024,Demand Response,982.52,3544011.0,2087.0,827957.0,Annual Total,172478.0,9755.0,14471.0
"Senior Services of Snohomish County, dba: Homage Senior Services","Seattle--Tacoma, WA",80389.0,2024,Bus,982.52,3544011.0,2087.0,827957.0,Annual Total,63023.0,2512.0,2099.0
Rogue Valley Transportation District,"Medford, OR",55981.0,2024,Demand Response,63.02,171640.0,78.0,180555.0,Annual Total,385946.0,28447.0,42166.0
Rogue Valley Transportation District,"Medford, OR",55981.0,2024,Bus,63.02,171640.0,78.0,180555.0,Annual Total,1323617.0,92145.0,958995.0
Washington State Ferries,"Seattle--Tacoma, WA",80389.0,2024,Ferryboat,982.52,3544011.0,1945.0,3919300.0,Annual Total,759247.0,108571.0,18859209.0
Makah Tribal Council,Washington Non-UZA,53.0,2024,Bus,0.0,1895776.0,,,Annual Total,29942.0,2003.0,3152.0
"Central Puget Sound Regional Transit Authority, dba: Sound Transit","Seattle--Tacoma, WA",80389.0,2024,Commuter Bus,982.52,3544011.0,1089.0,3385200.0,Annual Total,7687417.0,437106.0,7421304.0
"Central Puget Sound Regional Transit Authority, dba: Sound Transit","Seattle--Tacoma, WA",80389.0,2024,Commuter Bus,982.52,3544011.0,1089.0,3385200.0,Annual Total,1399625.0,64464.0,1316619.0
"Central Puget Sound Regional Transit Authority, dba: Sound Transit","Seattle--Tacoma, WA",80389.0,2024,Commuter Rail,982.52,3544011.0,1089.0,3385200.0,Annual Total,1708406.0,55945.0,1916429.0
"Central Puget Sound Regional Transit Authority, dba: Sound Transit","Seattle--Tacoma, WA",80389.0,2024,Light Rail,982.52,3544011.0,1089.0,3385200.0,Annual Total,9178980.0,495687.0,29843190.0
"Central Puget Sound Regional Transit Authority, dba: Sound Transit","Seattle--Tacoma, WA",80389.0,2024,Bus,982.52,3544011.0,1089.0,3385200.0,Annual Total,526780.0,26965.0,459544.0
"Central Puget Sound Regional Transit Authority, dba: Sound Transit","Seattle--Tacoma, WA",80389.0,2024,Streetcar Rail,982.52,3544011.0,1089.0,3385200.0,Annual Total,201739.0,21614.0,992082.0
Alaska Railroad Corporation,"Anchorage, AK",2305.0,2024,Alaska Railroad,91.69,249252.0,266.0,352701.0,Annual Total,1282149.0,48214.0,234699.0
"Chelan Douglas PTBA , dba: Link Transit","Wenatchee, WA",93862.0,2024,Demand Response,32.6,78142.0,197.0,122915.0,Annual Total,532808.0,44617.0,105323.0
